position,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d
191,zoe-cape,10563437789517,Zoe Κάπα,0.35,Low,yes,1297
192,zelda-dress,10564934369613,Zelda Φόρεμα,0.35,Low,yes,1415
193,livia-kimono,10564754964813,Livia Κιμονό,0.34,Low,yes,1062
194,dalia,10731582325069,Dalia Τουρμπάνι,0.33,Low,yes,886
195,parker-dress,10566126928205,Parker Φόρεμα,0.33,Low,yes,1493
196,copy-copy-74,10633898852685,Velinor Φόρεμα,0.32,Low,yes,1357
197,ismini,10730873160013,Ismini Κιμονό,0.31,Low,yes,735
198,calypso-top-blue,10559164318029,Calypso Τοπ γαλάζιο,0.31,Low,yes,959
199,ellie-dress,10566111002957,Ellie Φόρεμα,0.31,Low,yes,1377
200,calypso-shirt-pink,10559193186637,Calypso Πουκάμισο ροζ,0.29,Low,yes,859
201,zelda-kimono,10566049726797,Zelda Κιμονό,0.27,Low,yes,1059
202,lilly-kimono,10566068437325,Lilly Κιμονό,0.27,Low,yes,1259
203,arla-top,10566363447629,Arla Τοπ,0.27,Low,yes,1033
204,lyla-kimono,10564749328717,Lyla Κιμονό,0.26,Low,yes,1032
205,ophelia-top,10563189473613,Ophelia Τοπ,0.26,Low,yes,862
206,argenta-dress,10564890132813,Argenta Φόρεμα,0.24,Low,yes,820
207,melissa-top,10566027510093,Melissa Τοπ,0.24,Low,yes,859
208,pearl-dress,10563071410509,Pearl Φόρεμα,0.24,Low,yes,479
209,stella-skirt,10563313762637,Stella Skirt,0.24,Low,yes,1092
210,orlaya-3,10641918886221,Orlaya Τοπ Ροζ,0.23,Low,yes,898
211,myra-top-1,10563042214221,Myra Τοπ,0.23,Low,yes,584
212,indira-kimono,10563362685261,Indira Κιμονό,0.23,Low,yes,969
213,ember-top-yellow,10564586668365,Ember Τοπ κίτρινο,0.22,Low,yes,717
214,fiora,10633892299085,Fiora Φόρεμα,0.22,Low,yes,855
215,rhia-top,10563437035853,Rhia Τοπ,0.21,Low,yes,963
216,gabby-top,10566028427597,Gabby Τοπ,0.20,Low,yes,628
217,opal-top,10563436282189,Opal Τοπ,0.19,Low,yes,890
218,debbie-shirt,10564590010701,Debbie Πουκάμισο,0.19,Low,yes,545
219,elma-pants,10566039175501,Elma Παντελόνα,0.18,Low,yes,585
220,sienna-top,10566393954637,Sienna Τοπ,0.17,Low,yes,783
221,shona-top,10564592664909,Shona Τοπ,0.17,Low,yes,467
222,sundra-top,10566352666957,Sundra Τοπ,0.16,Low,yes,554
223,romi-top,10566360826189,Romi Τοπ,0.15,Low,yes,426
224,noma,10633884762445,Noma Φόρεμα,0.15,Low,yes,407
225,selma-dress,10566095241549,Selma Φόρεμα,0.13,Low,yes,601
226,olira,10633941942605,Olira Φόρεμα,0.12,Low,yes,630
227,nyx-skirt,10563049128269,Nyx Skirt,0.12,Low,yes,622
228,s26-1008,10563044606285,Eirys Τοπ,0.12,Low,yes,380
229,matilda-dress,10566105825613,Matilda Φόρεμα,0.09,Low,yes,459
230,nyx-top,10563029533005,Nyx Τοπ,0.08,Low,yes,273
231,ines-shirt,10564583817549,Ines Πουκάμισο,0.07,Low,yes,307
232,lucy-shirt,10566370197837,Lucy Πουκάμισο,0.06,Low,yes,303
233,ines-pants-1,10564803887437,Ines Παντελόνα,0.06,Low,yes,308
