collection_handle,collection_id,collection_title,handle,product_id,title,ratio_in_collection,tier,sold_out,views_90d,position
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,cressida-dress,10833916559693,Cressida Dress,0.82,New,no,616,70
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,elowen-skirt-1,10833793253709,Elowen  Skirt,0.82,New,no,99,71
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,samara-dress,10834074337613,Samara Dress,0.80,New,no,650,72
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,aveline-top-1,10831558803789,Aveline Top,0.80,New,no,111,73
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,maristella-cape,10831722840397,Oriane Pants,0.80,New,no,107,74
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,maelle-top,10831601533261,Maelle Top,0.79,New,no,119,75
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,cassia-top,10831707406669,Cassia Top,0.79,New,no,114,76
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,leandra-limited,10833979244877,Leandra LIMITED,0.79,New,no,583,77
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,evania-top,10831701770573,Evania Top,0.77,New,no,131,78
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,valeria-kimono,10833826283853,Valeria Kimono,0.76,New,no,533,79
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,evadne-dress,10847616008525,Evadne Dress,0.76,New,no,576,80
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,sabine-kimono,10833829331277,Sabine Kimono,0.76,New,no,531,81
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,freya-dress,10834090557773,Freya Dress,0.76,New,no,526,82
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,oriane-top,10831663268173,Oriane Top,0.76,New,no,126,83
house-of-peonies-fw27,667532886349,FW27 House Of Peonies,jolie-dress-1,10834092753229,Jolie Dress,0.75,New,no,537,84
